"year","padded_population_of_researchers","number_of_inmigrations","number_of_outmigrations","region","incomelevel","gdp_per_capita","population","syn"
2006,82,2,6,"Sub-Saharan Africa","LIC",325.050066322768,5043300,FALSE
2012,373,29,17,"East Asia & Pacific","LMC",1281.43871813127,6508803,FALSE
2004,6,3,0,NA,NA,NA,NA,FALSE
2015,49,9,5,"Latin America & Caribbean","UMC",8009.25230244723,232733,FALSE
2007,499,17,7,"Middle East & North Africa","HIC",19057.7989047138,748525,FALSE
2006,951,35,27,"South Asia","LMC",309.310420053588,21906444,FALSE
2000,143408,2119,1945,"North America","HIC",22005.0545405773,36109487,FALSE
2002,24,1,2,"Latin America & Caribbean","HIC",23991.7008043163,28657,FALSE
2016,68108,3518,2845,"Europe & Central Asia","HIC",85217.3691512274,8638167,FALSE
2017,390,14,12,"Europe & Central Asia","LMC",756.425589810936,9543207,FALSE
2016,5929,304,143,"Latin America & Caribbean","UMC",6614.83081997934,30563433,FALSE
2005,1192,16,28,"Europe & Central Asia","LMC",830.407694204322,25864350,FALSE
2013,432,26,18,"Sub-Saharan Africa","LIC",519.649963861622,13623541,FALSE
2005,6199,283,303,"Europe & Central Asia","HIC",11734.7649743954,46258189,FALSE
1999,74,3,4,"Latin America & Caribbean","HIC",11173.9493679991,47789,FALSE
2009,99544,721,901,"Latin America & Caribbean","UMC",9823.16407600128,184722043,FALSE
2010,240,14,15,"East Asia & Pacific","LMC",936.790321414385,10788692,FALSE
2018,44749,760,814,"Middle East & North Africa","HIC",33156.2283157638,8059500,FALSE
2012,370,5,7,"Sub-Saharan Africa","UMC",9291.23627601053,1262879,FALSE
2015,997,50,39,"Sub-Saharan Africa","UMC",6392.98734736839,2058539,FALSE
2020,31685,770,207,"East Asia & Pacific","UMC",3558.81885175737,202205861,FALSE
2018,1851,130,84,"East Asia & Pacific","HIC",78896.2747485132,604167,FALSE
2006,30461,716,672,"Europe & Central Asia","HIC",52219.7057327581,8268641,FALSE
2017,4373,151,156,"South Asia","LMC",809.384457749825,27381555,FALSE
2019,32898,800,571,"Latin America & Caribbean","UMC",6449.97098726076,48351671,FALSE
2007,3292,117,88,"South Asia","LMC",552.338934530705,140912590,FALSE
2007,3716,355,168,"Europe & Central Asia","UMC",2144.38954419287,7440769,FALSE
2009,16644,362,307,"Europe & Central Asia","HIC",19861.6974295256,10251250,FALSE
2002,19,3,2,"Europe & Central Asia","UMC",1126.68334010717,4698968,FALSE
2016,1414582,24990,20685,"North America","HIC",59907.754260885,318386329,FALSE
2016,21578,279,294,"Sub-Saharan Africa","LMC",3751.7373046875,188666931,FALSE
2018,624,43,29,"Sub-Saharan Africa","LIC",704.485625539362,12230339,FALSE
2003,37,6,2,"Sub-Saharan Africa","LIC",225.947310959268,8791853,FALSE
2008,141,6,8,"Sub-Saharan Africa","LMC",880.038521818228,5192764,FALSE
2016,2077,86,72,"Europe & Central Asia","HIC",68452.23622306,327386,FALSE
2017,934,36,26,"Latin America & Caribbean","UMC",5343.0377039956,4315887,FALSE
2016,43416,729,720,"Middle East & North Africa","HIC",42406.8454263606,8059500,FALSE
1999,39,1,5,"Sub-Saharan Africa","LIC",255.972618578875,3930648,FALSE
2005,585,15,20,"Europe & Central Asia","UMC",2109.5263835731,4183757,FALSE
2005,261,22,17,"Middle East & North Africa","LIC",7221.64388308259,24743946,FALSE
2000,1431,67,47,"East Asia & Pacific","LMC",1123.16357149152,16396860,FALSE
2018,374986,2562,4232,"East Asia & Pacific","HIC",40415.9567649547,279040000,FALSE
2019,236230,3510,4011,"Europe & Central Asia","HIC",28185.3213671969,64710879,FALSE
1999,54827,415,377,"Europe & Central Asia","UMC",4177.10494176499,64113547,FALSE
2005,5053,118,51,"Middle East & North Africa","LMC",2751.42358398438,26147551,FALSE
2002,4,0,1,"Latin America & Caribbean","HIC",NA,107712,FALSE
2017,261,14,11,"Latin America & Caribbean","LMC",2457.6860424186,6389235,FALSE
2000,356,22,19,"Latin America & Caribbean","UMC",1904.81367007224,3689099,FALSE
2003,1250,20,28,"Europe & Central Asia","UMC",2068.12352309089,8947243,FALSE
2009,14059,173,164,"Sub-Saharan Africa","LMC",2201.77682813479,160952853,FALSE
2016,3669,101,116,"Sub-Saharan Africa","LIC",897.50972863557,140490722,FALSE
2019,691,37,28,"Latin America & Caribbean","UMC",5273.14902681979,2794445,FALSE
2014,4190,137,110,"Sub-Saharan Africa","LMC",1104.16442871094,97084366,FALSE
2013,72,6,2,"Sub-Saharan Africa","HIC",15188.1746751096,32520,FALSE
2011,35877,679,900,"South Asia","LMC",1438.05700508042,205337562,FALSE
2012,15,1,0,"East Asia & Pacific","LMC",1403.99385262696,107995,FALSE
2003,355,6,7,"Sub-Saharan Africa","UMC",4111.73808510941,1417110,FALSE
2014,2001,39,26,"Europe & Central Asia","UMC",5967.06856034227,9295784,FALSE
2010,16,2,0,"Sub-Saharan Africa","LIC",170.706876502428,12440326,FALSE
2002,95,9,10,"Middle East & North Africa","UMC",1619.51073552531,3108778,FALSE
2014,627,34,22,"Sub-Saharan Africa","LIC",733.887472832132,11930899,FALSE
2007,8,3,1,"East Asia & Pacific","LIC",170.706876502428,24469047,FALSE
2001,4175,98,98,"Middle East & North Africa","LMC",2259.51631977961,29661270,FALSE
2007,69138,1507,1513,"Europe & Central Asia","HIC",58037.8213192173,9696110,FALSE
2003,90129,561,600,NA,NA,NA,NA,FALSE
2007,1594,49,47,"South Asia","LMC",1452.22140548112,17113732,FALSE
2003,1208,65,54,"Europe & Central Asia","UMC",1819.52653114699,3786695,FALSE
2015,9,0,2,"Sub-Saharan Africa","LMC",1357.26622888827,521212,FALSE
2003,4,0,1,"South Asia","UMC",4500.92733395418,305671,FALSE
2011,136,8,9,"East Asia & Pacific","HIC",37427.5400573102,47727,FALSE
2009,13,1,0,"Sub-Saharan Africa","LMC",1043.28142666295,161680,FALSE
2018,52405,1701,1330,"Europe & Central Asia","HIC",56152.552340314,7824909,FALSE
2019,21515,260,266,"Middle East & North Africa","LMC",3569.71883883673,34248603,FALSE
2006,8,3,0,"East Asia & Pacific","HIC",9187.16634446553,30335,FALSE
2011,60,3,1,"Europe & Central Asia","UMC",2941.36224066021,612267,FALSE
2020,18680,191,237,"Europe & Central Asia","UMC",7417.20660836868,7130576,FALSE
2016,25410,741,476,"Latin America & Caribbean","UMC",5304.28912886641,50930662,FALSE
1998,687,10,15,"Europe & Central Asia","UMC",655.097249579917,2874299,FALSE
2015,240084,5605,6513,"Europe & Central Asia","HIC",38781.0494870836,65611593,FALSE
2011,881558,6184,6125,"East Asia & Pacific","UMC",3832.22745696438,1311020000,FALSE
2020,46210,997,1097,"Sub-Saharan Africa","UMC",9555.66959336559,117290686,FALSE
2009,1986,29,29,"Europe & Central Asia","UMC",5843.5337683582,15484192,FALSE
2010,349,6,15,"East Asia & Pacific","LMC",670.261253626844,10309031,FALSE
1999,4521,93,88,"South Asia","LMC",401.96518010266,145421318,FALSE
2009,176,15,19,NA,NA,NA,NA,FALSE
2003,2,0,1,"East Asia & Pacific","HIC",NA,89941,FALSE
2014,235,53,51,NA,NA,NA,NA,FALSE
2008,55,6,3,"North America","HIC",113050.73688163,27335,FALSE
2003,66,15,13,NA,NA,NA,NA,FALSE
2019,1038,74,33,"Latin America & Caribbean","LMC",3471.0069506501,5441062,FALSE
1998,74,5,9,"Latin America & Caribbean","LMC",1568.81689878282,8101777,FALSE
2017,10,0,1,"East Asia & Pacific","LMC",1698.91912438014,187440,FALSE
2007,94597,682,1184,"Europe & Central Asia","UMC",9152.73722334937,142960908,FALSE
2017,3029,135,67,"Sub-Saharan Africa","LIC",766.177604015442,52542823,FALSE
2007,2282,53,66,"Europe & Central Asia","UMC",8147.24398493375,9054332,FALSE
2002,4513,107,141,"Europe & Central Asia","UMC",2283.84668494941,7567745,FALSE
2004,36,2,13,"Sub-Saharan Africa","LIC",664.59765601918,7468596,FALSE
2005,8617,108,95,"Sub-Saharan Africa","UMC",5240.316159068,11283185,FALSE
2008,396,4,9,"Middle East & North Africa","HIC",37427.5400573102,1179453,FALSE
2009,41,7,1,"Latin America & Caribbean","UMC",6790.63408004111,108231,FALSE
2010,4334,131,118,"Sub-Saharan Africa","LMC",1990.35612886581,11105791,FALSE
2013,6176,56,59,"Europe & Central Asia","HIC",15008.3132445526,1420020,FALSE
2002,1060,38,27,"Sub-Saharan Africa","LIC",122.961659681414,27146084,FALSE
2004,7435,94,187,"Europe & Central Asia","HIC",11223.3993032598,4887613,FALSE
2015,166465,1989,1868,"East Asia & Pacific","HIC",28737.4391706499,49307835,FALSE
2004,474,21,4,"Middle East & North Africa","HIC",24886.5805921909,1040532,FALSE
2006,43,7,3,"Sub-Saharan Africa","LIC",418.902079016511,13309235,FALSE
2019,1739,143,221,"Middle East & North Africa","HIC",84779.4536941057,638609,FALSE
2007,26,0,4,"East Asia & Pacific","LMC",2168.02818637954,108232,FALSE
1999,166722,4075,3893,"North America","HIC",28280.926786099,32243753,FALSE
2011,14,1,1,"Latin America & Caribbean","HIC",22666.4069075154,107712,FALSE
2019,1084,107,89,"East Asia & Pacific","HIC",98041.3622380894,582766,FALSE
2000,3748,55,79,"Europe & Central Asia","UMC",1210.5874393672,9469379,FALSE
2018,60755,961,908,"East Asia & Pacific","UMC",11045.5801207599,32804020,FALSE
2015,808,33,31,"Latin America & Caribbean","UMC",5143.72218263652,2808376,FALSE
2003,153,2,12,"Sub-Saharan Africa","LIC",286.753714867893,6584183,FALSE
2005,213811,5139,5939,"Europe & Central Asia","HIC",32143.6814078562,82376451,FALSE
2019,191,20,53,NA,NA,NA,NA,FALSE
2005,22,1,1,"East Asia & Pacific","LMC",1250.9538420042,202125,FALSE
2014,3877,66,57,"Europe & Central Asia","UMC",6095.10423658487,3440027,FALSE
2016,1834,99,60,"Middle East & North Africa","UMC",3272.15432360708,3848449,FALSE
2014,101,7,3,"Europe & Central Asia","LMC",3169.07890082563,582640,FALSE
2003,895,19,15,"Europe & Central Asia","UMC",682.319095965299,15071640,FALSE
2003,16,1,2,"East Asia & Pacific","HIC",21817.3151192465,47156,FALSE
2007,21514,461,471,"Europe & Central Asia","HIC",85502.2677087731,4660677,FALSE
2014,3,0,1,NA,NA,NA,NA,FALSE
2010,476,23,17,"Sub-Saharan Africa","LIC",478.028076481469,19924958,FALSE
1998,25,3,0,"Latin America & Caribbean","LMC",387.689414752116,1997534,FALSE
2000,244,13,11,"Latin America & Caribbean","HIC",4099.00653989315,914660,FALSE
2016,210,29,33,NA,NA,NA,NA,FALSE
2014,196,40,25,NA,NA,NA,NA,FALSE
2007,184835,1413,943,"Europe & Central Asia","HIC",13815.4999463758,42921895,FALSE
2019,108460,821,801,"Europe & Central Asia","UMC",11049.9951100942,142960908,FALSE
2000,131,16,13,"East Asia & Pacific","LMC",214.429331694379,46014826,FALSE
2002,28,7,1,"South Asia","LIC",NA,23553551,FALSE
2004,1147,51,33,"East Asia & Pacific","LMC",465.119886944025,3163991,FALSE
2016,892,56,28,"Middle East & North Africa","UMC",11838.2987072109,28660887,FALSE
2011,1901,26,44,"Middle East & North Africa","LIC",993.739882507097,21120042,FALSE
2008,109,10,7,"Sub-Saharan Africa","LIC",542.284101222819,1396499,FALSE
2004,4195,128,125,"South Asia","LMC",440.961454614021,148391139,FALSE
2009,50536,736,912,"Europe & Central Asia","HIC",19143.8876174584,10754679,FALSE
2015,105,9,7,"Europe & Central Asia","HIC",45936.9562817724,91359,FALSE
2006,5,0,1,"Sub-Saharan Africa","LMC",1090.42716869473,656024,FALSE
2020,3509,175,98,"Middle East & North Africa","HIC",17082.2061998982,4541854,FALSE
2005,4134,53,41,"Europe & Central Asia","HIC",6700.32719189382,3549331,FALSE
2003,34,0,1,"Europe & Central Asia","UMC",2440.47882968871,604950,FALSE
2006,10731,172,85,"Europe & Central Asia","UMC",7369.43188923286,17794055,FALSE
2010,476,31,10,"Middle East & North Africa","HIC",46844.1973390647,777943,FALSE
2019,1989,23,38,"Europe & Central Asia","LMC",1308.13978544561,32956100,FALSE
1999,606,29,31,"Sub-Saharan Africa","LIC",250.690588410025,77128424,FALSE
2014,1339874,23346,21214,"North America","HIC",65120.3946628653,328329953,FALSE
2011,37,3,1,"Latin America & Caribbean","UMC",7724.04241057376,68442,FALSE
2019,823,34,34,"Latin America & Caribbean","UMC",5626.17047314286,2802695,FALSE
2012,31,2,0,"Sub-Saharan Africa","LIC",517.09758150565,1609017,FALSE
2005,194,17,7,"Latin America & Caribbean","UMC",8108.05260794233,6090721,FALSE
1999,14649,256,330,"Europe & Central Asia","HIC",6637.04165713981,10210971,FALSE
2001,15,4,0,"Europe & Central Asia","HIC",19275.4339659556,64798,FALSE
2012,56,2,2,"Sub-Saharan Africa","LIC",1071.77776475545,13697126,FALSE
2013,228488,1880,2779,"Europe & Central Asia","HIC",35560.0814062288,62716306,FALSE
2000,338,24,19,"Sub-Saharan Africa","LIC",366.115905761719,12411342,FALSE
1998,13,0,1,"Europe & Central Asia","HIC",24947.1235837634,60943,FALSE
2008,15,4,0,"Latin America & Caribbean","UMC",8528.68208470429,68153,FALSE
2013,1284,70,52,"Sub-Saharan Africa","LMC",2290.78737894927,5186824,FALSE
2011,1597,113,84,"Latin America & Caribbean","HIC",24898.3345857045,3143825,FALSE
2014,19823,692,635,"East Asia & Pacific","HIC",23862.8011860096,10573100,FALSE
2001,127,1,5,"Europe & Central Asia","UMC",1126.68334010717,1888525,FALSE
2017,3297,271,187,"Europe & Central Asia","UMC",5645.19928965332,3400129,FALSE
2005,4591,164,97,"East Asia & Pacific","UMC",1572.79793972155,231797427,FALSE
2014,69,2,7,"East Asia & Pacific","HIC",35052.8079075238,366717,FALSE
2008,1194,38,47,"Europe & Central Asia","UMC",4846.79094117894,2046898,FALSE
2011,37,5,7,"Latin America & Caribbean","HIC",27120.6905452145,168346,FALSE
2002,40,2,0,"Latin America & Caribbean","UMC",2906.72527754218,173978,FALSE
2016,1536,75,58,"Latin America & Caribbean","UMC",7683.74025365669,5084532,FALSE
2008,1691,53,46,"Sub-Saharan Africa","LMC",1419.5309032462,13595566,FALSE
2010,69,2,6,"South Asia","LMC",1384.06328381602,1261845,FALSE
1999,663,44,19,"Sub-Saharan Africa","LMC",390.418487548828,32626498,FALSE
2010,35259,501,523,"Latin America & Caribbean","UMC",8184.38988923991,46677947,FALSE
2013,10213,97,170,"Sub-Saharan Africa","LMC",954.658813476563,174726123,FALSE
2006,633,39,17,"Middle East & North Africa","HIC",55595.4843129592,425967,FALSE
2003,153,19,10,"Sub-Saharan Africa","UMC",3976.64679620587,1272935,FALSE
2010,23,7,7,"East Asia & Pacific","HIC",8825.97858075408,22715,FALSE
2010,34,3,5,"North America","HIC",95221.8588720301,56774,FALSE
2000,4314,207,106,"Latin America & Caribbean","UMC",3205.68839767994,7480591,FALSE
2016,8639,128,165,"Europe & Central Asia","HIC",18509.7402157541,4047680,FALSE
2008,7286,261,208,"Sub-Saharan Africa","LMC",1049.12179424341,69907887,FALSE
2005,942,24,29,"Latin America & Caribbean","UMC",10060.361041075,4622252,FALSE
2018,226,27,27,"East Asia & Pacific","HIC",19743.9590211525,279688,FALSE
2000,231,9,15,"Sub-Saharan Africa","LIC",292.169481253444,12342165,FALSE
1999,3708,131,85,"Sub-Saharan Africa","LMC",733.537888694616,136756848,FALSE
2017,9750,322,395,"Europe & Central Asia","HIC",29335.046875,620001,FALSE
2016,755,31,23,"Sub-Saharan Africa","UMC",5687.38104280011,2866376,FALSE
2008,7286,103,130,"Latin America & Caribbean","UMC",5245.95158387112,11309290,FALSE
2007,112,9,3,"Latin America & Caribbean","LMC",543.110702403072,8661546,FALSE
2014,26936,1217,961,"East Asia & Pacific","HIC",57564.8023114977,5079623,FALSE
2020,21,2,6,"Latin America & Caribbean","HIC",89704.2236135613,36947,FALSE
2010,81,1,0,"South Asia","LMC",2760.0113395546,283218,FALSE
2001,453,16,12,"Europe & Central Asia","UMC",763.108895463487,2880967,FALSE
2015,1378251,23346,19480,"North America","HIC",63528.6343027508,326838199,FALSE
2006,197,15,8,"Latin America & Caribbean","UMC",10060.361041075,123663,FALSE
1998,894,11,33,"Sub-Saharan Africa","LMC",780.270553202226,12751995,FALSE
1998,33,1,7,"Sub-Saharan Africa","LMC",632.214141751138,2821703,FALSE
2004,122,15,19,NA,NA,NA,NA,FALSE
2015,191,29,18,"Sub-Saharan Africa","LIC",372.135456093031,70997870,FALSE
2003,1159,68,46,"South Asia","LMC",238.861254119722,27026941,FALSE
2018,762,34,42,"Latin America & Caribbean","HIC",14382.2323819969,4026336,FALSE
2001,89,10,9,"Sub-Saharan Africa","LIC",186.035226453739,17337893,FALSE
2005,994,63,34,"South Asia","LMC",477.601092763442,15210817,FALSE
2010,33855,604,579,"Europe & Central Asia","HIC",46412.1364777169,10547958,FALSE
1998,77801,1140,1262,"Europe & Central Asia","UMC",1771.59411621094,147670784,FALSE
2010,383,29,21,"East Asia & Pacific","HIC",29604.0525466296,421437,FALSE
2001,92474,1485,1529,"North America","HIC",14749.6874248766,21691653,FALSE
2004,55,3,4,"Sub-Saharan Africa","LMC",1409.57974824961,8277302,FALSE
2020,1344,49,39,"Sub-Saharan Africa","LMC",1240.73315536982,17275171,FALSE
2002,1023,45,36,"East Asia & Pacific","LMC",558.226802377,16207746,FALSE
2002,12176,534,508,"East Asia & Pacific","HIC",21913.7081719961,3958723,FALSE
2004,82099,1003,1196,"South Asia","LMC",543.843798895899,1078970907,FALSE
2010,249,3,6,"East Asia & Pacific","LMC",740.276191244616,10788692,FALSE
2000,1000,37,40,"Latin America & Caribbean","HIC",9756.50037102982,1504709,FALSE
2013,118,2,2,"Europe & Central Asia","LMC",1850.38496774479,571202,FALSE
2002,1302,77,102,"Sub-Saharan Africa","LMC",1122.85552182107,9928549,FALSE
2014,140,24,27,"Latin America & Caribbean","HIC",16923.5909197623,301920,FALSE
2009,28485,632,651,"Latin America & Caribbean","UMC",8880.14580454109,111049428,FALSE
2003,47,3,10,"East Asia & Pacific","HIC",21817.3151192465,167054,FALSE
2000,349,14,20,"Sub-Saharan Africa","LIC",217.240473296394,17724310,FALSE
2009,17,1,2,"Europe & Central Asia","HIC",NA,52415,FALSE
2004,5886,57,47,"Europe & Central Asia","HIC",8914.10355674451,3162916,FALSE
2015,94,4,2,"Europe & Central Asia","HIC",60126.1256426858,30372,FALSE
2007,26,1,3,"Sub-Saharan Africa","UMC",16804.9249271976,789681,FALSE
2015,13900,172,166,"Europe & Central Asia","HIC",5757.53127301178,5045056,FALSE
2007,1107,34,37,"Latin America & Caribbean","UMC",4846.79094117894,11246114,FALSE
2000,76,3,5,"Latin America & Caribbean","LMC",335.014292883194,6436698,FALSE
2005,14705,180,329,"Europe & Central Asia","LMC",909.032403273312,47105171,FALSE
2019,26862,1324,1545,"Europe & Central Asia","HIC",79446.9391085469,5685807,FALSE
2018,47844,356,489,"Europe & Central Asia","LMC",1941.87947889475,45272155,FALSE
1998,1454,57,57,"South Asia","LMC",427.506327495099,41716497,FALSE
2018,4758,49,41,"Europe & Central Asia","HIC",17403.2053254767,1504709,FALSE
2000,610,28,32,"Latin America & Caribbean","UMC",2703.56567057465,27334503,FALSE
2005,522,15,10,"Middle East & North Africa","UMC",10060.361041075,6228370,FALSE
2001,40,3,3,"Europe & Central Asia","UMC",762.610797622974,604950,FALSE
2017,725,35,13,"East Asia & Pacific","LMC",1098.07453750531,15624584,FALSE
2007,181,10,11,"Latin America & Caribbean","HIC",15595.6364981048,165649,FALSE
2001,92,6,4,"East Asia & Pacific","LMC",168.638593302984,47338446,FALSE
2015,22298,1267,1374,"East Asia & Pacific","HIC",66070.4868123062,5638676,FALSE
2011,60,3,2,"Europe & Central Asia","HIC",51428.1896998835,64523,FALSE
2008,91,6,5,"Europe & Central Asia","HIC",143540.573432591,52415,FALSE
2016,76,8,7,"Sub-Saharan Africa","LIC",643.790042311239,3296367,FALSE
2005,8,0,0,"Sub-Saharan Africa","LIC",131.02323900236,7120496,FALSE
2014,1926,166,123,"Latin America & Caribbean","HIC",22935.9411586313,3721525,FALSE
2012,1061,59,46,"East Asia & Pacific","LMC",1288.41808699092,53423198,FALSE
2019,102890,2395,2045,"Europe & Central Asia","HIC",53044.5324352253,16939923,FALSE
2019,29695,1404,1901,"Europe & Central Asia","HIC",70150.7370157965,5612253,FALSE
2020,1960,107,50,"Sub-Saharan Africa","LIC",779.202768619387,52542823,FALSE
2016,50,6,9,"East Asia & Pacific","HIC",34522.3779304433,250927,FALSE
2005,1369,103,84,"Latin America & Caribbean","HIC",18123.1987019918,4294396,FALSE
2005,13079,345,405,"Sub-Saharan Africa","LMC",710.509344848758,165463745,FALSE
2017,239388,5516,6537,"Europe & Central Asia","HIC",40494.8982936276,58892514,FALSE
2008,231,17,8,"East Asia & Pacific","LMC",1635.03956584558,7137988,FALSE
2000,16,1,1,"Europe & Central Asia","UMC",1000.41683499719,5180957,FALSE
2009,938,33,47,"Sub-Saharan Africa","LMC",1419.5309032462,12679810,FALSE
2016,6313,215,192,"Sub-Saharan Africa","LMC",1675.98842173012,47894670,FALSE
2002,23,3,1,"Europe & Central Asia","UMC",635.714466332445,5360811,FALSE
2012,111,7,3,"Europe & Central Asia","LMC",1929.77563929612,3742959,FALSE
2000,270814,2537,2568,"East Asia & Pacific","HIC",39169.3595701504,126843000,FALSE
2004,88056,561,674,"Europe & Central Asia","HIC",31317.2007943296,38042794,FALSE
2002,4,1,1,"Sub-Saharan Africa","LIC",301.87646966176,2322753,FALSE
2012,25333,661,461,"Latin America & Caribbean","UMC",6782.03792033195,50930662,FALSE
2005,20,2,3,NA,NA,NA,NA,FALSE
2017,29084,795,476,"East Asia & Pacific","LMC",3077.43441889625,216379655,FALSE
2008,23,2,0,"East Asia & Pacific","LMC",3250.95309678248,187440,FALSE
2015,166465,4523,4356,"North America","HIC",46374.1527517191,24190907,FALSE
2011,83558,516,528,"Europe & Central Asia","HIC",12504.2501856093,37970087,FALSE
2014,703,36,28,"Latin America & Caribbean","UMC",2847.63506882245,11033758,FALSE
2009,25,2,0,"East Asia & Pacific","HIC",12038.8715916596,205279,FALSE
2004,4195,136,143,"Latin America & Caribbean","INX",3243.36880476351,41648268,FALSE
2004,296,5,10,"Sub-Saharan Africa","UMC",4095.68370023032,1417110,FALSE
2017,152,12,2,"Sub-Saharan Africa","LIC",558.179723315125,26147002,FALSE
2008,1194,24,32,"Europe & Central Asia","LMC",1213.26532816388,19333463,FALSE
2008,3732,74,62,"Europe & Central Asia","UMC",1840.32992667702,7716860,FALSE
2017,65695,2469,2241,"Europe & Central Asia","HIC",51939.4297445291,9799186,FALSE
2009,241,18,13,"East Asia & Pacific","LMC",1718.91402182752,9749640,FALSE
2004,183,11,8,"Middle East & North Africa","UMC",1963.72283862715,25425663,FALSE
2000,34,3,3,"North America","HIC",20652.8417042443,29587,FALSE
2016,44,1,4,"East Asia & Pacific","LMC",4189.05219052051,189379,FALSE
2006,13,1,2,"East Asia & Pacific","UMC",9603.79708537139,54337,FALSE
1998,16,2,0,"Europe & Central Asia","UMC",1000.41683499719,4698968,FALSE
2020,186,22,32,NA,NA,NA,NA,FALSE
2001,130,5,2,"Sub-Saharan Africa","UMC",3695.93373512052,1175267,FALSE
2013,127544,4202,3105,"East Asia & Pacific","HIC",52147.0241942843,22340024,FALSE
2015,1518,57,50,"Sub-Saharan Africa","LIC",537.932204050438,18964252,FALSE
2011,13895,370,361,"Latin America & Caribbean","HIC",14632.6903076927,17173573,FALSE
2011,32199,1050,1147,"Middle East & North Africa","HIC",33156.2283157638,9140169,FALSE
2016,537,60,39,"Latin America & Caribbean","HIC",23664.8823485096,2650930,FALSE
2005,348,13,15,"Sub-Saharan Africa","LIC",403.020713102699,17724310,FALSE
2019,36741,884,769,"South Asia","LMC",1322.31478539554,205337562,FALSE
2013,219,22,15,"Latin America & Caribbean","UMC",8173.34469885261,5843939,FALSE
2012,1061,59,39,"Latin America & Caribbean","HIC",19110.0538950806,2650930,FALSE
2019,345,21,16,"East Asia & Pacific","LMC",1221.72396039938,52288341,FALSE
2001,4231,70,75,"South Asia","LMC",427.506327495099,148391139,FALSE
2010,1754,64,68,"Latin America & Caribbean","HIC",24898.3345857045,2921130,FALSE
2004,6616,117,52,"Middle East & North Africa","LMC",3029.84876850628,26147551,FALSE
2004,75,6,2,"Latin America & Caribbean","UMC",1630.1908460827,5416324,FALSE
2002,107,2,5,"East Asia & Pacific","LMC",999.885953957977,673260,FALSE
2007,26207,452,407,"Europe & Central Asia","HIC",85502.2677087731,4660677,FALSE
2013,100030,721,898,"Europe & Central Asia","UMC",11490.0216901556,77181884,FALSE
2003,2142,48,40,"Europe & Central Asia","HIC",4141.59270180102,3549331,FALSE
1998,34,3,1,"North America","UMC",1977.84061443838,5958482,FALSE
2007,325,29,17,"Sub-Saharan Africa","LIC",471.61268796898,2189019,FALSE
2008,47955,736,616,"Europe & Central Asia","HIC",22103.7009703321,10525347,FALSE
2012,7482,261,313,"South Asia","LMC",1236.00439239816,165516222,FALSE
2015,4628,222,106,"Latin America & Caribbean","UMC",6180.11926810233,24142445,FALSE
2013,8559,62,68,"Europe & Central Asia","HIC",16551.018202078,2987773,FALSE
2001,742,77,35,"Middle East & North Africa","HIC",6139.73282520597,1994530,FALSE
2017,197096,4720,4356,"North America","HIC",46374.1527517191,61322463,FALSE
1998,142,16,8,"Sub-Saharan Africa","LMC",999.885953957977,2537949,FALSE
2003,485,29,33,"Latin America & Caribbean","HIC",9756.50037102982,3262683,FALSE
2020,2251676,12043,9766,"North America","UMC",10143.8602205959,1383112050,FALSE
2009,269,28,14,"Sub-Saharan Africa","LIC",565.018681122182,2189019,FALSE
